wheel1,wheel2,f1,f2,total
0,0,1,1,1
2,0,0.9,1,0.9
0,2,1,0.8,0.8
2,2,0.9,0.8,0.72
3,0,0.5,1,0.5
3,2,0.5,0.8,0.4
0,3,1,0.3,0.3
2,3,0.9,0.3,0.27
3,3,0.5,0.3,0.15
4,0,0.1,1,0.1
4,2,0.1,0.8,0.08
0,4,1,0.03,0.03
2,4,0.9,0.03,0.027
3,4,0.5,0.03,0.015
5,0,0.01,1,0.01
5,2,0.01,0.8,0.008
4,4,0.1,0.03,0.003
2,5,0.9,0.003,0.0027
3,5,0.5,0.003,0.0015
6,0,0.001,1,0.001
6,2,0.001,0.8,0.0008
6,3,0.001,0.3,0.0003
2,6,0.9,0.0003,0.00027
3,6,0.5,0.0003,0.00015
7,0,0.0001,1,0.0001
7,2,0.0001,0.8,0.00008
4,6,0.1,0.0003,0.00003
2,7,0.9,0.00003,0.000027
3,7,0.5,0.00003,0.000015
5,6,0.01,0.0003,0.000003
6,6,0.001,0.0003,0.0000003
7,6,0.0001,0.0003,0.00000003
7,7,0.0001,0.00003,0.000000003
1,1,0,0,0
